season,episode,char,line
6,16,Ross," Unagi is a state of total awareness. Okay? Only by achieving true unagi
can you be prepared for any danger that may befall you!"
6,16,Phoebe," You mean in case someone is trying to steal your bamboo sleeping mat or
your kettle of fish?
(Rachel laughs and Ross mocks her.)"
6,16,Ross," (moves closer) All Im saying is, its one thing being prepared
for an attack against like each other; whole another story being prepared for an attack, I
dont know, like a (turns and puts his face close to Rachels and screams) surprise!!
(Rachel calmly wipes the spittle off her face.)"
6,16,Ross," All right, you know that one was coming, but that doesnt mean you
have unagi. (Does the finger thing.)"
6,16,Rachel," (To Phoebe) Ooh! Yknow what? If we made reservations, we could
have unagi in about a half-hour."
6,16,Ross," Yknow what (Moves away as Chandler enters, panicked.)"
6,16,Chandler," Hey-hey, is Monica here?"
6,16,Phoebe, No.
6,16,Ross, No.
6,16,Chandler," Okay, look I need your help, I dont know what to get her for
Valentines Day."
6,16,Rachel," Well, Valentines Day was like two weeks ago, so I wouldnt
get her a calendar!"
6,16,Chandler," (laughs) She was working on Valentines Day so were
celebrating it tonight."
6,16,Joey," Ohh, hey! Why dont you book a date for both of you at one of those
romantic spas?"
6,16,Phoebe," Ooh, Joey, thats actually a really good idea!"
6,16,Joey," And of course, crotchless panties. "
6,16,Chandler," Well appealing as that does sound to her boyfriend (pause) and her
brother, (the camera pans to Ross flashing Joey a very evil look; Joey gets scared) I
cant do that we promised wed make each other gifts this year."
6,16,Rachel," Aw, I love that."
6,16,Phoebe, You guys!
6,16,Joey," You cant make crotchless panties? You take, you take a pair of
scissors and you just cut"
6,16,Rachel," (interrupting him) Okay-okay-okay! So, making things. That sounds like
so much fun."
6,16,Chandler," Yeah, I thought so to until I paper mached one of my eyes shut."
6,16,Phoebe," Oh, I love paper mache! What did you make?"
6,16,Chandler, I made a (Does one of those gibberish words.)
6,16,Phoebe, What is that?
6,16,Chandler, Nothing!
6,16,Ross, So what are you gonna do?
6,16,Chandler," Well, have you guys made anything that maybe I can take credit for?"
6,16,Phoebe," Ohh! I have! I have! I started making these little sock bunnies! (She
takes out a sock thats been made into a bunny with eyes, nose, mouth, whiskers, and
two other socks sown onto it for ears.) Oh for crying out loud!"
6,16,Rachel," Hey, wait a minute! That is my sock!"
6,16,Phoebe," Now, its you little bunny friend. (She sticks it in Rachels
face and they both laugh.)
[Scene"
6,16,Chandler," (admiring his work) This, this actually is a (Does the same
gibberish word from before.)"
6,16,Monica, (entering) Hey!
6,16,Chandler," Hey! Honey, can I ask you a question about the Valentines Day
gifts?"
6,16,Monica," Oh, yeah."
6,16,Chandler, Do we have to make the entire thing?
6,16,Monica," Yes! Why, did youyou forget to make yours?"
6,16,Chandler," Of course, of course not. I just have to uh, go over to the place
where I-I made it and pick-pick it up."
6,16,Monica," Okay. (They kiss.) Okay, I cant wait! This is going to be the best
Valentines Day ever! (Chandler giggles and exits.) I cant believe it! Make the
presents! Make the presents!"
6,16,Chandler, (sticking his head back in) What?
6,16,Monica," Im just so excited to make the presents! (Chandler does another
sarcastic/scared laugh and leaves.) Shoot!
[Scene"
6,16,Joey," (to the receptionist) Hi uh, Im Joey Tribbiani and with all do
respect Id like to donate some fluids."
6,16,Joey," Oh thats too bad. Ive kinda been saving up. (She just looks at
him in horror.) Uh, are you sure theres no studies I can participate in?"
6,16,Joey," Thanks. (Starts to read it.) Well but this one starts now. (Points to
one.)"
6,16,Joey," But its $2,000."
6,16,Joey," Well how about this one? Testing the effects of Joey Tribbiani on
attractive nurse receptionists."
6,16,Ross," DANGER!!! DANGER!!!!!
(They both scream and jump away.)"
6,16,Phoebe, Ross!!!
6,16,Rachel, What the hell was that?!
6,16,Ross," A lesson in the importance of unagi. (He starts doing the finger thing
every time now.)"
6,16,Phoebe," Ohh, youre a freak!!"
6,16,Ross," Perhaps. Now Im curious, at what point during those girlish screams
would you have begun to kick my ass?"
6,16,Rachel," All right, so we werent prepared!"
6,16,Ross," Im sorry I had to take such drastic measures to make my point, but
Ilook, I just want you guys to be safe. (Monica comes out to throw out the garbage
and Ross screams) DANGER!!!!! (She completely ignores him and keeps walking.)
Ahhh, huh? Unagi.
[Scene"
6,16,Joey," (in his head) 2,000 bucks is a lot of money. Oh, I wish I had a twin.
Where could I find someone who looks exactly like me? (The camera widens its shot to
reveal a room full of Joey look-a-likes. Joey looks at the guy next to him and then back
at his script.)
[Scene"
6,16,Chandler, Hey.
6,16,Ross, (not turning around) Chandler. I sensed it was you.
6,16,Chandler, What?!
6,16,Ross, Unagi. Im always aware.
6,16,Chandler," Okay, are you aware unagi (does the finger thing) is an eel?"
6,16,Ross, Whats up?
6,16,Chandler, I cant figure out what to make Monica.
6,16,Ross," Oh, why dont you make her one of your little jokes."
6,16,Chandler," Im going crazy! Okay? Do you have any thing around here that
looks homemade?"
6,16,Ross," Yknow what? Shed-shed love this. (Picks up a model of
the Saturn V rocket, thats the one that took man to the moon.) Uh, its an
exact replica of Apollo 8. I made it in the sixth grade."
6,16,Chandler," Yeah, I guess I could use that. I could say that your love sends me to
the moon."
6,16,Ross," Yeah-yeah, except Apollo 8 didnt actually land on the moon. But
you-you-you could write that umm, your love lets me orbit the moon twice and return
safely. (Apollo 8 was the first one that orbited the moon and the one that read the
Christmas Story from the orbit of the moon on Christmas Eve, 1968. They also took the
famous Earthrise picture of the Earth rising over the moon.)"
6,16,Chandler," Wait a minute, I cant give this to her."
6,16,Ross, Why not?
6,16,Chandler," Because it says ""Captain Ross"" on the side and ""I hate
Monica"" on the bottom."
6,16,Ross," Oh.
(Chandler leaves dejectedly. When the door closes Rachel and Phoebe jump out from
behind the curtains and scream)

Phoebe and"
6,16,Rachel," DANGER!!!!!
(Ross screams like a little girl.)"
6,16,Rachel," Ahhhhh, salmon skin roll. (She does the finger thing.)
[Scene"
6,16,Chandler," Okay. Okay. (He goes to the closet, moves the clothes out of the way,
and notices an empty hanger. He takes the empty hanger and bends it all out of shape. Then
he holds it out as if hes giving it to her.) Yes honey, I made it myself. (He throws
it down and goes to her chest, grabs something, goes to the bed table, and takes out a
pair of scissors. He turns around and holds the scissors to the crotch of the panties he
just removed.) I cant do it. I cant do it. (He throws them both down and
continues looking. He opens another closet door and finds a tape.) Oh! Oh! A mixed tape! A
mixed tape!! (He runs out into the living room.)
[Cut to the living room, Chandler is entering as Monica finishes wrapping her present
for him on the kitchen table.]"
6,16,Chandler," Hey! Hi! You uh, ready to exchange gifts?"
6,16,Monica," Sure! Okay, you go first."
6,16,Chandler," Okay, come here! Come here."
6,16,Monica," Okay! (She takes her present for him and they move over to sit on the
couch.)"
6,16,Chandler," Now, its not wrapped because I just, just finished it."
6,16,Monica, Okay.
6,16,Chandler, But I made you a tape of what I think are all romantic songs.
6,16,Monica," Oh, what a great gift! Is The Way You Look Tonight on it?!"
6,16,Chandler, (momentarily terrified) Maybe well have to listen and see!
6,16,Monica," Oh, I love it! Thank you so much!"
6,16,Chandler, Okay!
6,16,Monica," Okay, you ready to open yours?"
6,16,Chandler, Yeah!
6,16,Monica," Okay.
(He opens his present to find Phoebes sock bunny from earlier.)"
6,16,Chandler, Its a sock bunny.
6,16,Monica," Yeah-yeah, you remember how I call you bunny?"
6,16,Chandler, Not really.
6,16,Monica," Well, I did one time, and-and I want to start doing it more. See
thats what this is about."
6,16,Chandler," I see. Yknow umm, Phoebe makes sock bunnies."
6,16,Monica," No! No, she doesnt. Uh Phoebe, what she makesthats
uhtheyre sock rabbits. They are completely differentOkay! Okay! Okay! I
didnt make it! Im sorry! I totally forgot about tonight and the fact that
were supposed to make the presents!"
6,16,Chandler," Oh, its okay. I dont"
6,16,Monica," No-no, its not okay! Its not! I mean you were just
Youre so incredible! You went through all this time and effort to make this tape for
me! Yknow Im just gonnaI, I am gonna make this up to you! I will! I-I am
going to cook anything you want in here (points to the kitchen), and I am going to do
anything you want in there! (Points to the bedroom.)"
6,16,Chandler," (thinking it over) Well, I did put a lot of thought in the tape. (They
both run into the bedroom.)
Commercial Break
[Scene"
6,16,Chandler," Wow! (To the sock bunny still on his hand.) You are way to
young to have seen that!"
6,16,Monica," Oops! (Covers its eyes.) Yknow, your birthday is in a
month-and-a-half, what do you say I forget to get you a present for that too?"
6,16,Chandler, You are totally and completely 100% forgiven.
6,16,Monica, We have got to wash that! (Referring to the sock bunny.)
6,16,Chandler, Yeah! (Takes it off his hand and throws it behind the night-stand.)
6,16,Monica," Do you remember that jacket that you love so much, that you thought was
too expensive?"
6,16,Chandler, You have done enough!
6,16,Monica, I wanna wake up early and go get it for you!
6,16,Chandler," No you dontget it in black, not brown.
(The oven dings.)"
6,16,Monica," Oop, your cake is ready!"
6,16,Chandler," Oop!
(They both get out of bed and go get some cake.)"
6,16,Chandler," Well, its like that old saying, have some sex, eat some cake.
(As they approach the kitchen, the door opens and in walks in a Joey look-a-like.)
Joey's Look-A-Like"
6,16,Monica," Who the hell are you?!
Joey's Look-A-Like"
6,16,Joey," (entering) No! No! No! No! No! How you doin?! How you
doinDamnit Carl! Go wait in the hall! (Goes into the hall.)"
6,16,Joey," Look, I got to apologize on the behalf of Carl."
6,16,Chandler, Who the hell is Carl?!
6,16,Joey," Oh, did I not mention? Carl is a guy I hired to be my identical twin for a
medical research project."
6,16,Chandler," Yknow sometimes the good ideas are just right in front of you,
arent they?"
6,16,Joey," Okay, I know it sounds crazy, but I think it might work. Yknow? The
only problem is, Carls acting is (Does the international hand symbol for
so-so.)"
6,16,Monica, The only problem!
6,16,Joey," Yeah, hes the reason I didnt get that big Minute Maid
commercial a couple of years ago remember? We were supposed to be brothers, but he messed
it up."
6,16,Joey," (to Carl) Pizza!! We like Pizza!! Get out!!! (Carl does so.)
[Scene"
6,16,Phoebe, Pat Sajak?
6,16,Rachel, Yep!
6,16,Phoebe, Alex Trebek?
6,16,Rachel," Oh, of course!"
6,16,Phoebe, Chuck Woolery?
6,16,Rachel," Definitely! Phoebe, you will not find a single game show host,
whos ass I cannot kick.
(They start to walk into the living room and notice someones head sticking up
from behind a chair. The camera cuts to the other side and we see its Ross.)
[Time lapse. The girls have Ross pinned face down. Phoebe is sitting on his back and
arms while holding his head down and facing Rachel. Rachel is sitting on his knees and
holding his lower legs vertically, causing Ross pain.]"
6,16,Rachel, Say it!
6,16,Phoebe, Say we are unagi!
6,16,Ross, Its not something you are! Its something you have!
6,16,Rachel, Say it!
6,16,Ross," Yknow what? I can easily get out of this, but there is a chance you
can get very, very hurt!
(Rachel yanks on his legs again and he groans in pain.)
[Scene"
6,16,Joey," All right Carl, were next. Now remember, what is not gonna be?"
6,16,Joey, Thats right! And what are you not gonna do?
6,16,Joey," (gets very angry) Damnit Carl! (Carl goes to say something more, and Joey
silences him with a grunt.)
The"
6,16,Joey," Thats us.
The"
6,16,Joey," Thats right, $2,000.
The"
6,16,Joey," Damnit Carl!
[Scene"
6,16,Chandler, Oh my good God.
6,16,Monica," Hey! Continuing the countdown of your favorite meals. Tonight, No. 3,
macaroni and cheese with cut up hot dogs."
6,16,Chandler," Look, you have done enough! Okay? You have to stop this now."
6,16,Monica," I will! But not tonight. For dinner music, I thought we could listen to
that tape you made me."
6,16,Chandler," Oh, the mixed tape.
(Monica pushes play and The Way You Look Tonight starts to play.)"
6,16,Monica," The Way You Look Tonight is on here! Dance with me?
(He hesitates, then goes over to dance with her.)"
6,16,Monica," You are just the sweetest. (They kiss.)
(Suddenly, a strange and familiar voice comes out of the tape player. Heres a
hint, OHMYGAWD!! Thats right, its Janice!)
"
6,16,Chandler," No! Youre the sweetest! (He tries to kiss her but Monica backs
away with a look that could kill on her face.)
[Scene"
6,16,Ross," Its a great class.
The"
6,16,Ross," Yeah, yeah, I was watching. (The instructor just nods and walks away.)
Umm, hey, a couple of questions though. Umm, about that-that-that last move where the
woman tripped you and then pinned you to the floor, what-what-what-what would you do next?
The"
6,16,Ross," No. No-no. No. What would you do next?
The"
6,16,Ross," Yes thats right.
The"
6,16,Ross," I tired attacking two women, did not work.
The"
6,16,Ross," No, I mean its okay, I mean, theyre-theyre my friends.
In fact, I-I-I was married to one of them.
The"
6,16,Ross," Oh, no! No-no! No, I tired! But I couldnt. Thats why Im
here. Maybe we could attack them together? (He glares at him.) That-thats a no.
[Scene"
6,16,Chandler," I am so, so, so, so sorry!"
6,16,Monica, (not buying it) Uh-huh.
6,16,Chandler," And I will cook anything you want in here (points to the kitchen), and
do anything in there! (Points to the bedroom.)"
6,16,Monica," (pointing to the kitchen) Yeah you will! (Points to the bedroom) And,
are you kiddin me?!"
6,16,Chandler," Come on Monica, its our Valentines Day. Please?
Please-please, please?"
6,16,Monica, Okay.
6,16,Chandler," Okay. (They hug.)

Janices"
6,16,Chandler," So, are we going in there?"
6,16,Monica," I am!! (Enter her room and closes the door behind her.)

Janices"
6,16,Ross," Ah-ha, nowhere to run! (He starts to run towards them.)
[Cut to Central Perk, Phoebe and Rachel are sitting up by the window because two guys
have their couch.]"
6,16,Rachel," I dont like sitting up here! Im just gonna over (She
starts to get up.)"
6,16,Phoebe," (stopping her) No Rachel! They got here first!
(Ross appears at the window behind them crouched behind a garbage can and ready to
spring his attack on who he thinks are Phoebe and Rachel. The camera cuts to the exterior
view and Phoebe and Rachel call the shots from inside.)"
6,16,Phoebe, Why is Ross doing that?
6,16,Ross, DANGER!!!!
6,16,Rachel, Oh my God! Why is he jumping on those women!
6,16,Phoebe, We should help him!
6,16,Rachel," I Well, I dont think they need any help.
(Ross starts to scream and run away. He stops in front of the window of Central Perk to
check the pursuit and notices Phoebe and Rachel inside looking at him. He mouths,
""What?"" Then realizes that the women he attacked are closing in so he screams
and runs away.)
End


"
1,23,Ross," She's not here yet. She's not here. She's having my baby and she's not
here."
1,23,Monica, I'm sure everything's fine. Has her water broke yet?
1,23,Ross," I don't know, but when I spoke to her, she said she had already passed the
mucus plug.
(Joey makes a sound of absolute disgust.)"
1,23,Joey, Do we have to know about that?
1,23,Monica," Joey, what are you gonna do when you have a baby?"
1,23,Joey," I'm gonna be in the waitin' room, handing out cigars."
1,23,Chandler," Yes, Joey's made arrangements to have his baby in a movie from the
50's."
1,23,Ross," God, I don't believe this. She could be giving birth in the cab."
1,23,Rachel," Oh, Ross, relax. It's probably like two dollars for the first
contraction, and then fifty cents for each additional contraction.
(Everyone looks at Rachel as though she made a tasteless comment.)"
1,23,Rachel," What, it's ok when Chandler does it?"
1,23,Chandler," You have to pick your moments.
(Phoebe arrives, guitar in hand.)"
1,23,Phoebe," Did I miss it, did I miss it?"
1,23,Ross, She's not even here yet.
1,23,Monica, What's with the guitar?
1,23,Phoebe," I just thought we might be here for awhile. You know, things might get
musical.
(Carol and Susan arrive.)"
1,23,Ross, (to Carol) Where the hell have you been?
1,23,Ross," Susan wanted a Chunky. We're having a baby, ok, a baby, you don't
stop for Chunkys."
1,23,Chandler," I used to have that bumper sticker.
(Everyone is amused by Chandler's comment.)"
1,23,Chandler," (to Rachel) You see what I mean.
Opening Credits
[Scene"
1,23,Ross, Stopped for a Chunky.
1,23,Ross," (weakly) No.
(Carol's doctor, Dr. Franzblau arrives.)
Dr."
1,23,Ross," Dr. Franzblau, hi.
Dr."
1,23,Ross," 59 seconds. (holds up his watch) Quartz, ha."
1,23,Ross, I'll get it.
1,23,Ross," I got itI'm getting it!
(They both leave just as Rachel enters the room, holding a cup.)"
1,23,Rachel," Hi, I thought you might like some ice chips."
1,23,Rachel," And if you need anything else, I(notices the handsome Dr.
Franzblau)do not believe we've met. Hi. I'm, uh, Rachel Green. I'm Carol's...
ex-husband's... sister's roommate. 
Dr."
1,23,Rachel," Oh, that's funny!
[Scene"
1,23,Monica, I want a baby.
1,23,Chandler," Mmmm. Not tonight, honey. I got an early day tomorrow."
1,23,Monica, Get up. Come on. Let's get some coffee.
1,23,Chandler," Oh, ok, 'cause we never do that.
(Chandler and Monica leave. Cut to Joey, watching the Knicks/Celtics game on
television.)"
1,23,Joey," (to the screen) Shoot! Shoot! Shoot! Shoot, or just fall down. That's good
too.
(A young pregnant woman enters.)"
1,23,Joey," Oh, yeah."
1,23,Joey," Hey, listen, lady....(sees that she's pregnant)...whoa."
1,23,Joey, Oh yeah? And who do you like?
1,23,Joey," The Celtics? Ha. They couldn't hit a boat if...wait. They suck, alright?"
1,23,Joey," Wha? Wha..aa? Let me get the father. Hey, we need a father over here! We
need a father!"
1,23,Joey," Oh, oh, oh, sorry."
1,23,Joey," Oh, uh, ok. Right this way. All the other pregnant women seem to be goin'
in here."
1,23,Phoebe," (singing) 


They're tiny and chubby and so sweet to touch,
    and soon they'll grow up and resent you so much. 
    Now they're yelling at you and you don't know why, 
    you cry and you cry and you cry. 
    And you cry and you cry and you cry...


(Ross gives Phoebe a dollar.)"
1,23,Phoebe," Thanks, Ross."
1,23,Ross, Yeah. I'm paying you to stop.
1,23,Phoebe," Ok.
(A woman passes by, carrying newborn twins.)"
1,23,Phoebe," Oh, look, twins. Hi, guys. Oh, cute, cute."
1,23,Monica, No fair. I don't even have one. How come they get two?
1,23,Chandler, You'll get one.
1,23,Monica, Oh yeah? When?
1,23,Chandler," All right. I'll tell you what. When we're 40, if neither one of us are
married, what do you say you and I get together and have one?"
1,23,Monica, Why won't I be married when I'm 40?
1,23,Chandler," Oh, no, no. I just meant hypothetically."
1,23,Monica," Ok, hypothetically, why won't I be married when I'm 40?"
1,23,Chandler," No, no, no."
1,23,Monica, What is it? Is there something fundamentally unmarriable about me?
1,23,Chandler," (trapped) Uh, uh."
1,23,Monica, Well?
1,23,Chandler," Dear God! This parachute is a knapsack! (throws himself over the back
of the chair he was sitting in)
(Rachel enters, in a formal dress.)"
1,23,Rachel, Hey.
1,23,Phoebe," Hey. Ooh, look at you, dressy-dress."
1,23,Monica, Did you go home and change?
1,23,Rachel," Yeah, well, it's an important day. I wanna look nice. Um, has uh Dr.
Franzblau been by?"
1,23,Monica," No, I haven't seen him."
1,23,Rachel," Well, where is he? He is supposed to be here. (Pause) What if the baby
needs him?"
1,23,Chandler," Rachel, what is the deal with you and doctors, anyway? Was, like, your
father a doctor? "
1,23,Rachel," Yeah, why?"
1,23,Chandler," No reason. (turns around, makes an 'Oh my God' gesture with his eyes)
[Scene"
1,23,Joey, Tribbiani.
1,23,Joey," (takes phone) Hi, yeah, it's me. (Listens) Oh, no no no, we're just
friends. (Listens) Yeah, I'm single. (Listens) 25. (Listens) An actor. (Listens) Hello?"
1,23,Joey," Yeah, so, uh, so, uh, what's the deal with this father guy, I mean, if
someone was havin' my baby somewhere, I'd wanna know about it, you know?"
1,23,Joey," Ok, look, maybe I should just go."
1,23,Joey," Good luck, and uh, take care, huh? 
(He leaves, but then returns a moment later.)"
1,23,Joey, You know what the Celtics problem is? They let the players run the team.
1,23,Joey," Oh, it is."
1,23,Joey, It is.
1,23,Ross, Breathe.
1,23,Ross, Breathe.
1,23,Ross, Breathe.
1,23,Ross," 15 more seconds, 14, 13, 12..."
1,23,Ross, Who the hell is Jordie?
1,23,Ross," No-no-no. I don't have a son named Jordie. We all agreed, my son's name is
Jamie."
1,23,Ross," What? Whoa, whoa whoa whoa, what do you mean, back to Jordie? We
never landed on Jordie. We just passed by it during the whole Jessy, Cody, Dylan
fiasco."
1,23,Ross, I got it.
1,23,Ross," I got it! Hey, you get to sleep with her, I get the cramps."
1,23,Ross, Why?
1,23,Ross," No, you started it."
1,23,Ross, But...
1,23,Ross, (to Susan) Thanks a lot.
1,23,Ross," (to Carol) Yeah, listen..."
1,23,Joey, Ew! What is that? Something exploded!
1,23,Joey," (panicked) Water breaking, what do you mean? What's that, water breaking?"
1,23,Ross, Please. This is so your fault.
1,23,Ross," Look, Carol never threw me out of a room before you came along."
1,23,Ross, You tryin' to be clever? A funny lady?
1,23,Ross," Oh, I'm threatened by you?"
1,23,Phoebe," Hey, hey, ok, all right, that's it! Get in here. Come on. My god, you
guys, I don't believe you. There are children coming into the world in this very building
and your negative fighting noises are not the first thing they should be hearing. So just
stop all the yelling, just stop it!"
1,23,Ross," Yeah, Susan."
1,23,Phoebe," Don't make me do this again, I don't like my voice like this.
(Phoebe goes to leave the room, but the door is locked.)"
1,23,Phoebe," Ok, who wants to hear something ironic?
Commercial Break
[Scene"
1,23,Ross," I'm having a baby in here! Ok, everyone stand back. (Walks backwards as if
he is going to break down the door, but steps in a bucket and falls) Ow.
[Scene"
1,23,Rachel," No, honey, they're not, but don't worry, because we are going to find
them, and until we do, we are all here for you, ok?"
1,23,Rachel, Ok?
1,23,Rachel," (to Dr. Franzblau) Ok, so anyway, you were telling me about Paris, it
sounds fascinating.
Dr."
1,23,Joey," Come on, Lydia, you can do it. Push! Push 'em out, push 'em out, harder,
harder. Push 'em out, push 'em out, way out! Let's get that ball and really move, hey,
hey, ho, ho. Let's (notices the nurse looking at him strangely) I was
justyeah, right. Push! Push! 
[Scene"
1,23,Ross, Help! Help!
1,23,Phoebe," (singing) They found their bodies the very next day, they found their
bodies the very next...(sees Ross and Susan staring at her) la la la la la la.
Susan and"
1,23,Ross," (even louder) Help!
[Scene"
1,23,Monica," Now, Mom, everything's going fine, really. (Listens) Yeah, Ross is
great. He's uh, he's in a whole other place. (Listens) No, he's gone. (Listens) No no, you
don't have to fly back, really. (Listens) What do you mean this might be your only chance?
(Listens) Would you stop? I'm only 26, I'm not even thinking about babies yet. 
(Monica sees a woman pass by with a baby, puts the phone to her chest, and starts to
cry. Chandler takes the phone, makes a noise in it resembling static, and hangs up. Joey
enters.)"
1,23,Chandler, Where have you been?
1,23,Joey," Oh, just had a baby."
1,23,Chandler," Mazel tov!
[Scene"
1,23,Rachel," (anxiously) No, no, not at the moment, no, I'm not. Are you?
Dr."
1,23,Rachel," Right, yeah, I've heard that about cute doctors.
Dr."
1,23,Rachel," Oh.
Dr."
1,23,Rachel," I'm a waitress.
Dr."
1,23,Rachel," (getting the point) Yeah. Gotcha.
Dr."
1,23,Rachel," Ok. That's fine. (takes her earrings out)
[Scene"
1,23,Ross," Come on, come on. Damnit, damnit, damnit, damnit. (to Susan) This is all
your fault. This is supposed to be, like, the greatest day of my life, y'know? My son is
being born, and I should be in there, you know, instead of stuck in a closet with you."
1,23,Ross," No no no, believe me. No one has been waiting for this as much as I have,
ok? And you know what the funny thing is? When this day is over, you get to go home with
the baby, ok? Where does that leave me?"
1,23,Ross, Every day is Lesbian Lover Day.
1,23,Phoebe, This is so great.
1,23,Ross, You wanna explain that?
1,23,Phoebe," I mean, well, 'cause when I was growing up, you know my dad left, and my
mother died, and my stepfather went to jail, so I barely had enough pieces of parents to
make one whole one. And here's this little baby who has like three whole parents who care
about it so much that they're fighting over who gets to love it the most. And it's not
even born yet. It's just, it's just the luckiest baby in the whole world. (pause) I'm
sorry, you were fighting.
[Scene"
1,23,Monica, I'm sure they'll be here soon.
1,23,Rachel," Yeah, honey, they wouldn't miss this."
1,23,Joey, Relax. You're only at nine centimeters. And the baby's at zero station.
1,23,Chandler," (to Joey) You are really frightening me.
(Carol suddenly screams in pain and grabs Chandler by the shirt.)"
1,23,Chandler," Somebody wanna help me, tryin' to rip out my heart. (they pull her
hand off of him) Uh, that's great. (looking around) Anybody seen a nipple?
Dr."
1,23,Ross," Ok, got the vent open."
1,23,Phoebe," (reading the nametag on the uniform) Hi, I'm Ben. I'm hospital worker
Ben. It's Ben... to the rescue!"
1,23,Ross," Ben, you ready? All right, gimme your foot. Ok, on three, Ben. One, two,
three. Ok, That's it, Ben.
(Ross and Susan lift Phoebe up into the vent.)"
1,23,Phoebe," Well, Susan, I see what appears to be a dark vent. Wait. Yes, it is in
fact a dark vent.
(A janitor opens the closet door from the outside.)"
1,23,Ross," Phoebs, It's open! It's open!
(Ross and Susan run to the delivery room, leaving Phoebe dangling from the vent.)"
1,23,Ross, We're here!
1,23,Ross," Long story, honey.
Dr."
1,23,Chandler," (to nurse) Let me ask you, do you have to be Carol's lesbian life
partner?"
1,23,Ross," Let me see, I gotta see, I gotta see. Oh, a head. Oh, it's, it's huge.
Carol, how are you doing this?"
1,23,Ross," (puts his head near the baby) Hello! (to Dr. Franzblau) Oh, sorry."
1,23,Ross," We got a head, we got shoulders, we got arms, we got, oh, look at the
little fingers, oh, and a chest, and a stomach. It's a boy, definitely a boy! All right!
Ok, legs, knees, and feet. Oh, oh. He's here. He's a person."
1,23,Ross," Kinda like my uncle Ed, covered in Jell-o."
1,23,Phoebe," (from the air vent overhead) You guys, he's beautiful!"
1,23,Ross," Oh, thanks, Pheebs!
(They look up towards the vent and wave at Phoebe.)
[Scene"
1,23,Ross, (thinking) How 'bout Ben?
1,23,Ross," We uh, we just cooked it up."
1,23,Monica, Hi.
1,23,Ross, Hey.
1,23,Monica," Can we come in?
(The whole gang enters.)"
1,23,Ross," (to Ben) I know, I know. Everybody, there's someone I'd like you to meet.
Yeah. This is Ben. Ben, this is everybody."
1,23,Phoebe," Susan, he looks just like you."
1,23,Rachel," Oh, god, I can't believe one of us actually has one of these."
1,23,Chandler," I know, I still am one of these."
1,23,Monica," Ross, can I?
(Monica holds Ben.)"
1,23,Ross," The head, the head. You gotta..."
